Country;Region;Technology;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Burundi;Africa;Solar photovoltaic;0;0;0;0;0;0;0;0;0;0;0;0;0.626;0.626;0.626;1.092;2.334;2.956;2.956;2.956;3.266;2.334
Burundi;Africa;Concentrated solar power;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burundi;Africa;Bioenergy;4.028;4.252;4.334;4.121;4.211;4.295;3.993;5.546;4.85;5.944;4.678;5.724;5.691;6.868;5.822;5.803;6.632;6.586;5.669;5.426;5.548;5.548
Burundi;Africa;Solid biofuels and renewable municipal waste;4.028;4.252;4.334;4.121;4.211;4.295;3.993;5.546;4.85;5.944;4.678;5.724;5.691;6.868;5.822;5.803;6.632;6.586;5.669;5.426;5.548;5.548
Burundi;Africa;Renewable municipal waste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burundi;Africa;Bagasse;4.028;4.252;4.334;4.121;4.211;4.295;3.993;5.546;4.85;5.944;4.678;5.724;5.691;6.868;5.822;5.803;6.632;6.586;5.669;5.426;5.548;5.548
Burundi;Africa;Other solid biofuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burundi;Africa;Liquid biofuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burundi;Africa;Biogas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burundi;Africa;Geothermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cabo Verde;Africa;Hydropower;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cabo Verde;Africa;Renewable hydropower;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cabo Verde;Africa;Pumped storage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cabo Verde;Africa;Marine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cabo Verde;Africa;Wind;4.549;3.749;5.662;5.366;6.43;6.45;7.441;6.869;5.51;4.661;1.992;15.605;63.03;76.006;82.56;78.813;76.932;68.318;80.231;73.795;63.932;73.784
Cabo Verde;Africa;Onshore wind energy;4.549;3.749;5.662;5.366;6.43;6.45;7.441;6.869;5.51;4.661;1.992;15.605;63.03;76.006;82.56;78.813;76.932;68.318;80.231;73.795;63.932;73.784
Cabo Verde;Africa;Offshore wind energy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cabo Verde;Africa;Solar;0;0;0;0;0;0;0;0;0;0;2.105;8.956;7.464;7.253;6.647;6.208;5.637;6.61;9.121;8.985;6.591;6.884
Cabo Verde;Africa;Solar photovoltaic;0;0;0;0;0;0;0;0;0;0;2.105;8.956;7.464;7.253;6.647;6.208;5.637;6.61;9.121;8.985;6.591;6.884
Cabo Verde;Africa;Concentrated solar power;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cabo Verde;Africa;Bioenergy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
